insurer_code,plan_name,plan_tier,category,metric_label,amount,unit,category_order,sort_order
DB,고급형,2,사망 · 후유장해,상해사망보험금,20000.0,만원,0,0
DB,실속형,0,사망 · 후유장해,상해사망보험금,10000.0,만원,0,0
DB,표준형,1,사망 · 후유장해,상해사망보험금,20000.0,만원,0,0
HYUNDAI,고급형,2,사망 · 후유장해,상해사망보험금,30000.0,만원,0,0
HYUNDAI,실속형,0,사망 · 후유장해,상해사망보험금,10000.0,만원,0,0
HYUNDAI,표준형,1,사망 · 후유장해,상해사망보험금,20000.0,만원,0,0
KAKAOPAY,라이트,0,사망 · 후유장해,상해사망보험금,10000.0,만원,0,0
KAKAOPAY,베이직,1,사망 · 후유장해,상해사망보험금,30000.0,만원,0,0
KAKAOPAY,플러스,2,사망 · 후유장해,상해사망보험금,60000.0,만원,0,0
KB,고급형,2,사망 · 후유장해,상해사망보험금,30000.0,만원,0,0
KB,실속형,0,사망 · 후유장해,상해사망보험금,10000.0,만원,0,0
KB,표준형,1,사망 · 후유장해,상해사망보험금,20000.0,만원,0,0
MERITZ,보장이큰플랜,2,사망 · 후유장해,상해사망보험금,20000.0,만원,0,0
MERITZ,실속플랜,0,사망 · 후유장해,상해사망보험금,10000.0,만원,0,0
MERITZ,추천플랜,1,사망 · 후유장해,상해사망보험금,20000.0,만원,0,0
SAMSUNG,고급플랜,2,사망 · 후유장해,상해사망보험금,60000.0,만원,0,0
SAMSUNG,실속플랜,0,사망 · 후유장해,상해사망보험금,10000.0,만원,0,0
SAMSUNG,표준플랜,1,사망 · 후유장해,상해사망보험금,30000.0,만원,0,0
SHINHAN,실속케어,0,사망 · 후유장해,상해사망보험금,10000.0,만원,0,0
SHINHAN,안심케어,1,사망 · 후유장해,상해사망보험금,20000.0,만원,0,0
DB,고급형,2,사망 · 후유장해,상해후유장해보험금,20000.0,만원,0,1
DB,실속형,0,사망 · 후유장해,상해후유장해보험금,10000.0,만원,0,1
DB,표준형,1,사망 · 후유장해,상해후유장해보험금,20000.0,만원,0,1
HYUNDAI,고급형,2,사망 · 후유장해,상해후유장해보험금,30000.0,만원,0,1
HYUNDAI,실속형,0,사망 · 후유장해,상해후유장해보험금,10000.0,만원,0,1
HYUNDAI,표준형,1,사망 · 후유장해,상해후유장해보험금,20000.0,만원,0,1
KAKAOPAY,라이트,0,사망 · 후유장해,상해후유장해보험금,10000.0,만원,0,1
KAKAOPAY,베이직,1,사망 · 후유장해,상해후유장해보험금,30000.0,만원,0,1
KAKAOPAY,플러스,2,사망 · 후유장해,상해후유장해보험금,30000.0,만원,0,1
KB,고급형,2,사망 · 후유장해,상해후유장해보험금,30000.0,만원,0,1
KB,실속형,0,사망 · 후유장해,상해후유장해보험금,10000.0,만원,0,1
KB,표준형,1,사망 · 후유장해,상해후유장해보험금,20000.0,만원,0,1
MERITZ,보장이큰플랜,2,사망 · 후유장해,상해후유장해보험금,20000.0,만원,0,1
MERITZ,실속플랜,0,사망 · 후유장해,상해후유장해보험금,10000.0,만원,0,1
MERITZ,추천플랜,1,사망 · 후유장해,상해후유장해보험금,20000.0,만원,0,1
SAMSUNG,고급플랜,2,사망 · 후유장해,상해후유장해보험금,60000.0,만원,0,1
SAMSUNG,실속플랜,0,사망 · 후유장해,상해후유장해보험금,10000.0,만원,0,1
SAMSUNG,표준플랜,1,사망 · 후유장해,상해후유장해보험금,30000.0,만원,0,1
SHINHAN,실속케어,0,사망 · 후유장해,상해후유장해보험금,10000.0,만원,0,1
SHINHAN,안심케어,1,사망 · 후유장해,상해후유장해보험금,20000.0,만원,0,1
DB,고급형,2,사망 · 후유장해,질병사망/고도후유장해,3000.0,만원,0,2
DB,실속형,0,사망 · 후유장해,질병사망/고도후유장해,3000.0,만원,0,2
DB,표준형,1,사망 · 후유장해,질병사망/고도후유장해,3000.0,만원,0,2
HYUNDAI,고급형,2,사망 · 후유장해,질병사망/고도후유장해,5000.0,만원,0,2
HYUNDAI,실속형,0,사망 · 후유장해,질병사망/고도후유장해,1000.0,만원,0,2
HYUNDAI,표준형,1,사망 · 후유장해,질병사망/고도후유장해,3000.0,만원,0,2
KAKAOPAY,라이트,0,사망 · 후유장해,질병사망/고도후유장해,3000.0,만원,0,2
KAKAOPAY,베이직,1,사망 · 후유장해,질병사망/고도후유장해,5000.0,만원,0,2
KAKAOPAY,플러스,2,사망 · 후유장해,질병사망/고도후유장해,10000.0,만원,0,2
KB,고급형,2,사망 · 후유장해,질병사망/고도후유장해,5000.0,만원,0,2
KB,실속형,0,사망 · 후유장해,질병사망/고도후유장해,3000.0,만원,0,2
KB,표준형,1,사망 · 후유장해,질병사망/고도후유장해,4000.0,만원,0,2
MERITZ,보장이큰플랜,2,사망 · 후유장해,질병사망/고도후유장해,5000.0,만원,0,2
MERITZ,실속플랜,0,사망 · 후유장해,질병사망/고도후유장해,3000.0,만원,0,2
MERITZ,추천플랜,1,사망 · 후유장해,질병사망/고도후유장해,3000.0,만원,0,2
SAMSUNG,고급플랜,2,사망 · 후유장해,질병사망/고도후유장해,10000.0,만원,0,2
SAMSUNG,실속플랜,0,사망 · 후유장해,질병사망/고도후유장해,3000.0,만원,0,2
SAMSUNG,표준플랜,1,사망 · 후유장해,질병사망/고도후유장해,4000.0,만원,0,2
SHINHAN,실속케어,0,사망 · 후유장해,질병사망/고도후유장해,3000.0,만원,0,2
SHINHAN,안심케어,1,사망 · 후유장해,질병사망/고도후유장해,5000.0,만원,0,2
DB,고급형,2,의료비,해외 상해의료비,5000.0,만원,1,0
DB,실속형,0,의료비,해외 상해의료비,5000.0,만원,1,0
DB,표준형,1,의료비,해외 상해의료비,5000.0,만원,1,0
HYUNDAI,고급형,2,의료비,해외 상해의료비,5000.0,만원,1,0
HYUNDAI,실속형,0,의료비,해외 상해의료비,2000.0,만원,1,0
HYUNDAI,표준형,1,의료비,해외 상해의료비,3000.0,만원,1,0
KAKAOPAY,라이트,0,의료비,해외 상해의료비,3000.0,만원,1,0
KAKAOPAY,베이직,1,의료비,해외 상해의료비,5000.0,만원,1,0
KAKAOPAY,플러스,2,의료비,해외 상해의료비,10000.0,만원,1,0
KB,고급형,2,의료비,해외 상해의료비,7000.0,만원,1,0
KB,실속형,0,의료비,해외 상해의료비,3000.0,만원,1,0
KB,표준형,1,의료비,해외 상해의료비,5000.0,만원,1,0
MERITZ,보장이큰플랜,2,의료비,해외 상해의료비,7000.0,만원,1,0
MERITZ,실속플랜,0,의료비,해외 상해의료비,5000.0,만원,1,0
MERITZ,추천플랜,1,의료비,해외 상해의료비,7000.0,만원,1,0
SAMSUNG,고급플랜,2,의료비,해외 상해의료비,5000.0,만원,1,0
SAMSUNG,실속플랜,0,의료비,해외 상해의료비,2000.0,만원,1,0
SAMSUNG,표준플랜,1,의료비,해외 상해의료비,3000.0,만원,1,0
SHINHAN,실속케어,0,의료비,해외 상해의료비,3000.0,만원,1,0
SHINHAN,안심케어,1,의료비,해외 상해의료비,5000.0,만원,1,0
DB,고급형,2,의료비,해외 질병의료비,5000.0,만원,1,1
DB,실속형,0,의료비,해외 질병의료비,5000.0,만원,1,1
DB,표준형,1,의료비,해외 질병의료비,5000.0,만원,1,1
HYUNDAI,고급형,2,의료비,해외 질병의료비,5000.0,만원,1,1
HYUNDAI,실속형,0,의료비,해외 질병의료비,2000.0,만원,1,1
HYUNDAI,표준형,1,의료비,해외 질병의료비,3000.0,만원,1,1
KAKAOPAY,라이트,0,의료비,해외 질병의료비,3000.0,만원,1,1
KAKAOPAY,베이직,1,의료비,해외 질병의료비,5000.0,만원,1,1
KAKAOPAY,플러스,2,의료비,해외 질병의료비,10000.0,만원,1,1
KB,고급형,2,의료비,해외 질병의료비,7000.0,만원,1,1
KB,실속형,0,의료비,해외 질병의료비,3000.0,만원,1,1
KB,표준형,1,의료비,해외 질병의료비,5000.0,만원,1,1
MERITZ,보장이큰플랜,2,의료비,해외 질병의료비,7000.0,만원,1,1
MERITZ,실속플랜,0,의료비,해외 질병의료비,5000.0,만원,1,1
MERITZ,추천플랜,1,의료비,해외 질병의료비,7000.0,만원,1,1
SAMSUNG,고급플랜,2,의료비,해외 질병의료비,5000.0,만원,1,1
SAMSUNG,실속플랜,0,의료비,해외 질병의료비,2000.0,만원,1,1
SAMSUNG,표준플랜,1,의료비,해외 질병의료비,3000.0,만원,1,1
SHINHAN,실속케어,0,의료비,해외 질병의료비,3000.0,만원,1,1
SHINHAN,안심케어,1,의료비,해외 질병의료비,5000.0,만원,1,1
DB,고급형,2,의료비,국내 상해의료비(급여),5000.0,만원,1,2
DB,실속형,0,의료비,국내 상해의료비(급여),3000.0,만원,1,2
DB,표준형,1,의료비,국내 상해의료비(급여),3000.0,만원,1,2
HYUNDAI,고급형,2,의료비,국내 상해의료비(급여),5000.0,만원,1,2
HYUNDAI,실속형,0,의료비,국내 상해의료비(급여),1000.0,만원,1,2
HYUNDAI,표준형,1,의료비,국내 상해의료비(급여),3000.0,만원,1,2
KAKAOPAY,베이직,1,의료비,국내 상해의료비(급여),1000.0,만원,1,2
