insurer_code,plan_name,plan_tier,sex,age,premium,period_days,value_origin,source_value,source_period_days,transformation,transformation_reason,source_reference,collected_at
DB,고급형,2,F,19,3440,1,DIRECT_QUOTE,3440,1,,,insurer_premiums_2026-08.xlsx#db!E41,2026-08-23
DB,고급형,2,F,20,3460,1,DIRECT_QUOTE,3460,1,,,insurer_premiums_2026-08.xlsx#db!E43,2026-08-23
DB,고급형,2,F,21,3510,1,DIRECT_QUOTE,3510,1,,,insurer_premiums_2026-08.xlsx#db!E45,2026-08-23
DB,고급형,2,F,22,3580,1,DIRECT_QUOTE,3580,1,,,insurer_premiums_2026-08.xlsx#db!E47,2026-08-23
DB,고급형,2,F,23,3660,1,DIRECT_QUOTE,3660,1,,,insurer_premiums_2026-08.xlsx#db!E49,2026-08-23
DB,고급형,2,F,24,3720,1,DIRECT_QUOTE,3720,1,,,insurer_premiums_2026-08.xlsx#db!E51,2026-08-23
DB,고급형,2,F,25,3770,1,DIRECT_QUOTE,3770,1,,,insurer_premiums_2026-08.xlsx#db!E53,2026-08-23
DB,고급형,2,F,26,3800,1,DIRECT_QUOTE,3800,1,,,insurer_premiums_2026-08.xlsx#db!E55,2026-08-23
DB,고급형,2,F,27,3800,1,DIRECT_QUOTE,3800,1,,,insurer_premiums_2026-08.xlsx#db!E57,2026-08-23
DB,고급형,2,F,28,3780,1,DIRECT_QUOTE,3780,1,,,insurer_premiums_2026-08.xlsx#db!E59,2026-08-23
DB,고급형,2,F,29,3740,1,DIRECT_QUOTE,3740,1,,,insurer_premiums_2026-08.xlsx#db!E61,2026-08-23
DB,고급형,2,F,30,3720,1,DIRECT_QUOTE,3720,1,,,insurer_premiums_2026-08.xlsx#db!E63,2026-08-23
DB,고급형,2,F,31,3740,1,DIRECT_QUOTE,3740,1,,,insurer_premiums_2026-08.xlsx#db!E65,2026-08-23
DB,고급형,2,F,32,3810,1,DIRECT_QUOTE,3810,1,,,insurer_premiums_2026-08.xlsx#db!E67,2026-08-23
DB,고급형,2,F,33,3910,1,DIRECT_QUOTE,3910,1,,,insurer_premiums_2026-08.xlsx#db!E69,2026-08-23
DB,고급형,2,F,34,4030,1,DIRECT_QUOTE,4030,1,,,insurer_premiums_2026-08.xlsx#db!E71,2026-08-23
DB,고급형,2,F,35,4190,1,DIRECT_QUOTE,4190,1,,,insurer_premiums_2026-08.xlsx#db!E73,2026-08-23
DB,고급형,2,F,36,4370,1,DIRECT_QUOTE,4370,1,,,insurer_premiums_2026-08.xlsx#db!E75,2026-08-23
DB,고급형,2,F,37,4470,1,DIRECT_QUOTE,4470,1,,,insurer_premiums_2026-08.xlsx#db!E77,2026-08-23
DB,고급형,2,F,38,4490,1,DIRECT_QUOTE,4490,1,,,insurer_premiums_2026-08.xlsx#db!E79,2026-08-23
DB,고급형,2,F,39,4450,1,DIRECT_QUOTE,4450,1,,,insurer_premiums_2026-08.xlsx#db!E81,2026-08-23
DB,고급형,2,F,40,4430,1,DIRECT_QUOTE,4430,1,,,insurer_premiums_2026-08.xlsx#db!E83,2026-08-23
DB,고급형,2,F,41,4560,1,DIRECT_QUOTE,4560,1,,,insurer_premiums_2026-08.xlsx#db!E85,2026-08-23
DB,고급형,2,F,42,4730,1,DIRECT_QUOTE,4730,1,,,insurer_premiums_2026-08.xlsx#db!E87,2026-08-23
DB,고급형,2,F,43,4900,1,DIRECT_QUOTE,4900,1,,,insurer_premiums_2026-08.xlsx#db!E89,2026-08-23
DB,고급형,2,F,44,5080,1,DIRECT_QUOTE,5080,1,,,insurer_premiums_2026-08.xlsx#db!E91,2026-08-23
DB,고급형,2,F,45,5260,1,DIRECT_QUOTE,5260,1,,,insurer_premiums_2026-08.xlsx#db!E93,2026-08-23
DB,고급형,2,F,46,5440,1,DIRECT_QUOTE,5440,1,,,insurer_premiums_2026-08.xlsx#db!E95,2026-08-23
DB,고급형,2,F,47,5650,1,DIRECT_QUOTE,5650,1,,,insurer_premiums_2026-08.xlsx#db!E97,2026-08-23
DB,고급형,2,F,48,5860,1,DIRECT_QUOTE,5860,1,,,insurer_premiums_2026-08.xlsx#db!E99,2026-08-23
DB,고급형,2,F,49,6080,1,DIRECT_QUOTE,6080,1,,,insurer_premiums_2026-08.xlsx#db!E101,2026-08-23
DB,고급형,2,F,50,6290,1,DIRECT_QUOTE,6290,1,,,insurer_premiums_2026-08.xlsx#db!E103,2026-08-23
DB,고급형,2,F,51,6530,1,DIRECT_QUOTE,6530,1,,,insurer_premiums_2026-08.xlsx#db!E105,2026-08-23
DB,고급형,2,F,52,6790,1,DIRECT_QUOTE,6790,1,,,insurer_premiums_2026-08.xlsx#db!E107,2026-08-23
DB,고급형,2,F,53,7060,1,DIRECT_QUOTE,7060,1,,,insurer_premiums_2026-08.xlsx#db!E109,2026-08-23
DB,고급형,2,F,54,7340,1,DIRECT_QUOTE,7340,1,,,insurer_premiums_2026-08.xlsx#db!E111,2026-08-23
DB,고급형,2,F,55,7620,1,DIRECT_QUOTE,7620,1,,,insurer_premiums_2026-08.xlsx#db!E113,2026-08-23
DB,고급형,2,F,56,7960,1,DIRECT_QUOTE,7960,1,,,insurer_premiums_2026-08.xlsx#db!E115,2026-08-23
DB,고급형,2,F,57,8380,1,DIRECT_QUOTE,8380,1,,,insurer_premiums_2026-08.xlsx#db!E117,2026-08-23
DB,고급형,2,F,58,8860,1,DIRECT_QUOTE,8860,1,,,insurer_premiums_2026-08.xlsx#db!E119,2026-08-23
DB,고급형,2,F,59,9350,1,DIRECT_QUOTE,9350,1,,,insurer_premiums_2026-08.xlsx#db!E121,2026-08-23
